mint,creator_address,price_usd,fdv_usd,liquidity_usd,volume_h24_usd,price_change_h24_pct,volume_to_liquidity_ratio,fdv_to_liquidity_ratio,liquidity_to_volume_ratio,creator_balance_pct,top_10_holders_pct,total_lp_locked_usd,has_mint_authority,has_freeze_authority,is_lp_locked_95_plus,token_supply,total_insider_networks,largest_insider_network_size,total_insider_token_amount,rugcheck_risk_level,pump_dump_risk_score,time_of_day_utc,day_of_week_utc,is_weekend_utc,is_public_holiday_any,signal_source,grade,token_age_at_signal_seconds,checked_at_timestamp,checked_at_utc,token_age_hours_at_signal,label_status,label_ath_roi,label_final_roi,label_hit_50_percent
2RV6uc3bLSEQkvd81tQSLwHipVsEDen4bgviFsPVpump,UNKNOWN,0.0001381,138121.0,37889.91,380904.95,136.0,10.052938895869639,3.6453240453725013,0.09947339880986057,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,unknown,30.0,8,4,0,0,discovery,LOW,490.0,1764319634,2025-11-28 08:47:14.004902+00:00,0.14,win,312.2120817036071,,1
2RdvF6xUutYco3H7PKSb3N9QvfYeYBfQh3yR1WFtpump,CZGthGcVe6V88ujcWvyDhz6iocVR8f1opokW8A8rNw41,3.3961644460279896e-05,33971.0,20681.87,43508.92,156.0,2.1037227291342613,1.642549730754521,0.47534781373566615,0.0,52.749296430139545,20660.0200357146,0,0,1,999512222068349.0,0.0,0.0,0.0,unknown,25.0,6,6,1,0,alpha,LOW,1335908.0,1763274601,2025-11-16 06:30:01.446343+00:00,UNKNOWN,win,50.375521596809925,,1
2RdvF6xUutYco3H7PKSb3N9QvfYeYBfQh3yR1WFtpump,CZGthGcVe6V88ujcWvyDhz6iocVR8f1opokW8A8rNw41,1.489e-05,14888.0,13534.94,4073.69,31.47,0.30097584473961464,1.099967934841233,3.322525769020225,0.0,67.4535238076542,13665.593301502035,0,0,1,999387751159660.0,2.0,450.0,64306101765.0,unknown,55.0,20,5,1,0,alpha,LOW,2508444.0,1764447137,2025-11-29 20:12:17.597744+00:00,696.79,win,143.95167347357943,-49.884641128300274,1
2T1FZvs9TEp88bXKhHoRn6sXqufa8Ky6VKB4iMJnpump,FMW7a7jGvqsa6T7PupBssjRcWdzv6g5vjrshmhMDWzPu,0.005619723422919525,5953387.0,264596.96,5954479.93,5961.0,22.503961988074238,22.49983144175201,0.04443661967301316,0.0,9.156050608776253,266941.2235391396,0,0,1,999998400726724.0,2.0,136.0,4822732163350.0,unknown,30.0,8,2,0,1,alpha,LOW,72513.0,1763540956,2025-11-19 08:29:16.895087+00:00,UNKNOWN,loss,2.452544935326731,-99.63463120323826,0
2UtfNvxKHeqjk2Wtk72ioRpDGQArQXmdXVf97cmspump,98T65wcMEjoNLDTJszBHGZEX75QRe8QaANXokv4yw3Mp,4.267e-05,42671.0,21139.52,438550.78,-27.61,20.7455410529662,2.01854157521079,0.04820312940727183,0.0,43.78339525221818,21205.89817963652,0,0,1,999997772586084.0,0.0,0.0,0.0,unknown,25.0,21,3,0,1,alpha,LOW,3272.0,1764280602,2025-11-27 21:56:42.134786+00:00,0.91,win,65.04937447310765,,1
2ebnGjPtt9w42RE9u88pCNXY2Rz69S2S7Gkz4DbbCVi5,9K3rhw14Aa3YTWQWADuPag6vDYPfhWfHWTxMP9KEDpdC,6.4493131206940245e-06,6429.29,4799.421410586509,411355.51,41.5,85.70939594773584,1.3395968909540523,0.011667332256194913,0.0,93.60099658396013,4799.421410586509,0,0,1,999949959050940.0,0.0,0.0,0.0,unknown,25.0,17,5,1,0,alpha,LOW,39801.0,1763226138,2025-11-15 17:02:18.206561+00:00,UNKNOWN,loss,0.0,-39.31136654784089,0
2hNdB7ibRyKT73dVve76pxWkc7idj7nkeAE1uN2Rpump,961c374E45Kg9z6uvrpx6cxHTR3Q76q9LiCu6PixaDwb,3.3482900629356055e-05,0.0,19839.795421305273,0.0,0.0,0.0,0.0,0.0,0.0,45.74102810792078,19839.795421305273,0,0,1,999999940427144.0,0.0,0.0,0.0,unknown,15.0,7,0,0,0,alpha,LOW,0.0,1762758097,2025-11-10 07:01:37.704192+00:00,UNKNOWN,win,136.06079077480481,-41.13413225997719,1
2hQnQUoSBgEioR4315vvGBzgC9Vjirfqjqw9q2YQpump,EEkt27V717yRyEBFh3ygM84RduciQYoA2R4hwYJ7AYgA,4.33632170689639e-06,0.0,6561.098763358436,0.0,0.0,0.0,0.0,0.0,0.0,95.08328515012185,6561.098763358436,0,0,1,999552867012045.0,0.0,0.0,0.0,unknown,25.0,2,0,0,0,alpha,LOW,0.0,1763347756,2025-11-17 02:49:16.175303+00:00,UNKNOWN,loss,12.284104573155883,-29.479401974797558,0
2hYVggDTPE8vuyXtrAp5ydwtLzKHJ77LgA54M3NNbonk,4xY9T1Q7foJzJsJ6YZDSsfp9zkzeZsXnxd45SixduMmr,0.0003013,301393.0,58497.73,1068610.59,344.0,18.267556535954473,5.152217017651796,0.0547418587719592,0.0,24.5937818827959,59276.92701052403,0,0,1,999996899360966.0,1.0,5.0,16659352678200.0,unknown,10.0,19,2,0,0,alpha,LOW,31922.0,1762975380,2025-11-12 19:23:00.345238+00:00,8.87,win,56.43939393939392,,1
2mhVccKLEctu8HLVSUwMkKXMFwc5jZ6BTZLQ2Kdtpump,CxUwCEAYHEr9xHKErrzGrAe2e73gJDXTENwaGr4FBaEC,0.00018390811130471763,0.0,46057.1127655727,0.0,0.0,0.0,0.0,0.0,0.0,55.998173619624836,46057.1127655727,0,0,1,999994958625641.0,2.0,12.0,324787934821105.0,unknown,8.0,23,4,0,0,alpha,LOW,0.0,1762556725,2025-11-07 23:05:25.724628+00:00,UNKNOWN,loss,9.157049345122182,-35.55874705443446,0
2pKAcRdNXQjUKFiFqv4sR4gNHAH4g1BxqSm1wMiupump,B1JZ1bEhLiyxzCBw4RMBLvtgk5zqPDU2455xCK2HqEGP,2.6374700499743998e-05,0.0,17427.939228582727,0.0,0.0,0.0,0.0,0.0,0.0,47.977368834155286,17427.939228582727,0,0,1,999996621540951.0,1.0,5.0,12738916996111.0,unknown,25.0,11,6,1,0,alpha,MEDIUM,0.0,1762689596,2025-11-09 11:59:56.588694+00:00,UNKNOWN,win,250.11367327054236,-35.011367327054245,1
